component_type,slug,cve_id,template_id,title,affected_range,fixed_version,fixed_version_key,severity,cvss_score,reference
wp_plugin,popup-builder,CVE-2022-0479,CVE-2022-0479,Popup Builder Plugin - SQL Injection and Cross-Site Scripting,,,,critical,9.8,
wp_plugin,learnpress,CVE-2022-45808,CVE-2022-45808,LearnPress Plugin < 4.2.0 - Unauthenticated Time-Based Blind SQLi,< 4.2.0,4.2.0,00004.00002.00000,critical,9.9,https://patchstack.com/database/vulnerability/learnpress/wordpress-learnpress-wordpress-lms-plugin-plugin-4-1-7-3-2-sql-injection?_s_id=cve
wp_plugin,feed-them-social,CVE-2022-2383,CVE-2022-2383,WordPress Feed Them Social <3.0.1 - Cross-Site Scripting,< 3.0.1,3.0.1,00003.00000.00001,medium,6.1,https://wpscan.com/vulnerability/4a3b3023-e740-411c-a77c-6477b80d7531
wp_theme,noo-jobmonster,CVE-2022-1170,CVE-2022-1170,JobMonster < 4.5.2.9 - Cross-Site Scripting,< 4.5.2.9,4.5.2.9,00004.00005.00002.00009,medium,6.1,https://wpscan.com/vulnerability/2ecb18e6-b575-4a20-bd31-94d24f1d1efc
wp_plugin,stock-ticker,CVE-2022-45365,CVE-2022-45365,Stock Ticker <= 3.23.2 - Cross-Site-Scripting,< 3.23.2,3.23.2,00003.00023.00002,medium,6.1,https://www.wordfence.com/threat-intel/vulnerabilities/wordpress-plugins/stock-ticker/stock-ticker-3232-reflected-cross-site-scripting-in-ajax-stockticker-symbo
wp_plugin,mapsvg,CVE-2022-0592,CVE-2022-0592,MapSVG < 6.2.20 - Unauthenticated SQLi,< 6.2.20,6.2.20,00006.00002.00020,critical,9.8,https://wpscan.com/vulnerability/5d8d53ad-dc88-4b50-a292-fc447484c27b/
wp_plugin,woocommerce-currency-switcher,CVE-2022-0234,CVE-2022-0234,WordPress WOOCS < 1.3.7.5 - Cross-Site Scripting,< 1.3.7.5,1.3.7.5,00001.00003.00007.00005,medium,6.1,https://wpscan.com/vulnerability/fd568a1f-bd51-41bb-960d-f8573b84527b
wp_plugin,nex-forms-express-wp-form-builder,CVE-2022-3142,CVE-2022-3142,NEX-Forms Plugin < 7.9.7 - SQL Injection,< 7.9.7,7.9.7,00007.00009.00007,high,8.8,https://wpscan.com/vulnerability/8acc0fc6-efe6-4662-b9ac-6342a7823328/
wp_plugin,usc-e-shop,CVE-2022-4140,CVE-2022-4140,WordPress Welcart e-Commerce <2.8.5 - Arbitrary File Access,< 2.8.5,2.8.5,00002.00008.00005,high,7.5,https://wpscan.com/vulnerability/0d649a7e-3334-48f7-abca-fff0856e12c7
wp_plugin,download-manager,CVE-2022-2168,CVE-2022-2168,WordPress Download Manager < 3.2.44 - Authenticated Cross-Site Scripting,< 3.2.44,3.2.44,00003.00002.00044,medium,6.1,https://wpscan.com/vulnerability/66789b32-049e-4440-8b19-658649851010/
wp_plugin,embed-swagger,CVE-2022-0381,CVE-2022-0381,WordPress Embed Swagger <=1.0.0 - Cross-Site Scripting,< 1.0.0,1.0.0,00001.00000.00000,medium,6.1,https://gist.github.com/Xib3rR4dAr/4b3ea7960914e23c3a875b973a5b37a3
wp_plugin,wp-statistics,CVE-2022-0651,CVE-2022-0651,WordPress Plugin WP Statistics <= 13.1.5 - SQL Injection,< 13.1.5,13.1.5,00013.00001.00005,high,7.5,https://wordpress.org/plugins/wp-statistics/
wp_plugin,wp-jobsearch,CVE-2022-1168,CVE-2022-1168,WordPress WP JobSearch <1.5.1 - Cross-Site Scripting,< 1.5.1,1.5.1,00001.00005.00001,medium,6.1,https://wpscan.com/vulnerability/bcf38e87-011e-4540-8bfb-c93443a4a490
wp_theme,car-repair-services,CVE-2021-24335,CVE-2021-24335,WordPress Car Repair Services & Auto Mechanic Theme <4.0 - Cross-Site Scripting,< 4.0,4.0,00004.00000,medium,6.1,https://themeforest.net/item/car-repair-services-auto-mechanic-wordpress-theme/19823557
wp_plugin,pie-register,CVE-2021-24647,CVE-2021-24647,Pie Register < 3.7.1.6 - Unauthenticated Arbitrary Login,< 3.7.1.6,3.7.1.6,00003.00007.00001.00006,high,8.1,https://nvd.nist.gov/vuln/detail/CVE-2021-24647
